Hochschulart;Jahr;Geschlecht;Fächergruppen;Fächergruppen A;Geisteswissenschaften;Geisteswissenschaften A;Sport;Sport A;Rechts-, Wirtschafts- und Sozialwissenschaften;Rechts-, Wirtschafts- und Sozialwissenschaften A;Mathematik, Naturwissenschaften;Mathematik, Naturwissenschaften A;Humanmedizin/ Gesundheitswissenschaften;Humanmedizin/ Gesundheitswissenschaften A;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin A;Ingenieurwissenschaften;Ingenieurwissenschaften A;Kunst, Kunstwissenschaften;Kunst, Kunstwissenschaften A
Universität 5);1997;Insgesamt;1386656;186139;408463;55141;27014;3266;371956;53960;243877;31417;95782;11061;32172;4738;142004;18165;65032;8040
Universität 5);1997;Männlich;741504;88414;143091;15482;15006;1740;224289;29414;156090;17440;49272;5241;13450;1873;115208;14216;24876;2798
Universität 5);1997;Weiblich;645152;97725;265372;39659;12008;1526;147667;24546;87787;13977;46510;5820;18722;2865;26796;3949;40156;5242
Universität 5);1998;Insgesamt;1364803;186803;404058;53888;27176;3046;366909;53765;239237;33308;95869;10797;31608;4510;134776;19004;64757;8055
Universität 5);1998;Männlich;718266;89075;139767;14895;15126;1709;217755;28683;151707;19219;48083;4869;12779;1734;108230;14872;24573;2851
Universität 5);1998;Weiblich;646537;97728;264291;38993;12050;1337;149154;25082;87530;14089;47786;5928;18829;2776;26546;4132;40184;5204
Universität 5);1999;Insgesamt;1330798;199604;388223;56437;25826;3071;361253;57215;238339;38319;93835;11481;30364;4431;128992;19733;63494;8416
Universität 5);1999;Männlich;689362;93113;130423;15017;14408;1715;210406;29514;149693;22017;45672;4851;11980;1629;102717;15237;23810;2873
Universität 5);1999;Weiblich;641436;106491;257800;41420;11418;1356;150847;27701;88646;16302;48163;6630;18384;2802;26275;4496;39684;5543
Universität 5);2000;Insgesamt;1341149;216052;391398;60397;26485;3248;360007;59282;250964;46905;93418;11565;29544;4296;125370;21181;63495;8615
Universität 5);2000;Männlich;683828;101075;128695;15914;14901;1789;205199;30146;156972;27713;43775;4417;11407;1625;99110;16207;23515;2962
Universität 5);2000;Weiblich;657321;114977;262703;44483;11584;1459;154808;29136;93992;19192;49643;7148;18137;2671;26260;4974;39980;5653
Universität 5);2001;Insgesamt;1382261;236846;407864;69056;26980;3740;368121;63484;266060;51136;93230;12101;29110;4303;126185;23077;64082;9231
