Prüfungsgruppe;Jahr;Fächergruppen insgesamt 2);Geisteswissenschaften 3);Rechts-, Wirtschafts- und Sozialwissenschaften;Mathematik, Naturwissenschaften;Humanmedizin/ Gesundheitswissenschaften;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin;Ingenieurwissenschaften;Kunst, Kunstwissenschaften;Fächergruppen insgesamt W;Geisteswissenschaften W;Rechts-, Wirtschafts- und Sozialwissenschaften W;Mathematik, Naturwissenschaften W;Humanmedizin/ Gesundheitswissenschaften W;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin W;Ingenieurwissenschaften W;Kunst, Kunstwissenschaften W
Universitärer Abschluss 6)7)8);1993;101401;14499;27542;18898;13582;4109;18217;4554;39507;9066;10804;6557;5919;2054;2589;2518
Universitärer Abschluss 6)7)8);1994;101972;14236;30761;19485;12921;3606;16324;4639;39926;8908;11755;6635;5853;1805;2341;2629
Universitärer Abschluss 6)7)8);1995;105703;15030;32279;19591;12158;3839;17854;4952;41036;9513;12291;6481;5415;1953;2481;2902
Universitärer Abschluss 6)7)8);1996;110530;15768;35106;20246;11933;3361;19149;4965;43004;10079;13724;6511;5294;1814;2704;2877
Universitärer Abschluss 6)7)8);1997;109400;17186;35340;19613;11239;3406;17300;5316;44024;11265;13693;6395;5109;1894;2586;3082
Universitärer Abschluss 6)7)8);1998;103072;17066;33596;17746;11141;3087;15251;5185;42410;11221;13235;5655;5042;1791;2494;2972
Universitärer Abschluss 6)7)8);1999;99287;17806;31939;16469;10919;3164;13746;5244;42797;11873;12545;5730;5114;1870;2569;3096
Universitärer Abschluss 6)7)8);2000;94999;17826;30784;14828;10698;3160;12342;5361;42599;12082;12468;5296;5088;1864;2537;3264
Universitärer Abschluss 6)7)8);2001;91317;17765;28808;13768;10540;2912;11624;5900;42581;12110;12160;5198;5270;1844;2449;3550
Universitärer Abschluss 6)7)8);2002;92201;18878;29635;14333;10302;2728;10916;5409;44483;13064;12657;5768;5345;1745;2590;3314
Universitärer Abschluss 6)7)8);2003;95170;20315;29647;14404;10507;3043;11127;6125;47254;14255;13120;6007;5502;2007;2561;3800
